Date,Location,Crime
1981-01-01,Northland,4293.927399945717
1981-02-01,Northland,4550.124342901425
1981-03-01,Northland,4749.354835056797
1981-04-01,Northland,4895.382882603682
1981-05-01,Northland,4991.972491733347
1981-06-01,Northland,5042.887668636339
1981-07-01,Northland,5051.8924195040545
1981-08-01,Northland,5022.750750527434
1981-09-01,Northland,4959.226667897711
1981-10-01,Northland,4865.084177805924
1981-11-01,Northland,4744.087286442775
1981-12-01,Northland,4600.0
1982-01-01,Northland,4436.586324668371
1982-02-01,Northland,4257.61026663845
1982-03-01,Northland,4066.835832102288
1982-04-01,Northland,3868.0270272504836
1982-05-01,Northland,3664.947858273547
1982-06-01,Northland,3461.3623313636613
1982-07-01,Northland,3261.034452711344
1982-08-01,Northland,3067.728228507148
1982-09-01,Northland,2885.207664943204
1982-10-01,Northland,2717.2367682100385
1982-11-01,Northland,2567.5795444983396
1982-12-01,Northland,2440.0
1983-01-01,Northland,2337.2365606405024
1983-02-01,Northland,2257.9253312849846
1983-03-01,Northland,2199.676836534051
1983-04-01,Northland,2160.101600987629
1983-05-01,Northland,2136.8101492458513
1983-06-01,Northland,2127.413005909016
1983-07-01,Northland,2129.5206955772155
1983-08-01,Northland,2140.7437428506646
1983-09-01,Northland,2158.6926723294737
1983-10-01,Northland,2180.978008613839
1983-11-01,Northland,2205.210276304001
1983-12-01,Northland,2229.0
1984-01-01,Northland,2250.528775362679
1984-02-01,Northland,2270.262482295285
1984-03-01,Northland,2289.2380717615097
1984-04-01,Northland,2308.4924947252057
1984-05-01,Northland,2329.062702150231
1984-06-01,Northland,2351.9856450002726
1984-07-01,Northland,2378.298274239182
1984-08-01,Northland,2409.037540830847
1984-09-01,Northland,2445.2403957389
1984-10-01,Northland,2487.9437899272157
1984-11-01,Northland,2538.1846743597403
1984-12-01,Northland,2597.0
1985-01-01,Northland,2664.88676383465
1985-02-01,Northland,2740.182146941362
1985-03-01,Northland,2820.683376419912
1985-04-01,Northland,2904.187679370686
1985-05-01,Northland,2988.4922828941044
1985-06-01,Northland,3071.3944140898925
1985-07-01,Northland,3150.6913000584705
1985-08-01,Northland,3224.1801679002206
1985-09-01,Northland,3289.6582447149262
1985-10-01,Northland,3344.922757602989
1985-11-01,Northland,3387.7709336646963
1985-12-01,Northland,3416.0
1986-01-01,Northland,3428.0908359651035
1986-02-01,Northland,3425.2589299395595
1986-03-01,Northland,3409.403422558842
1986-04-01,Northland,3382.4234544584197
1986-05-01,Northland,3346.2181662736393
1986-06-01,Northland,3302.6866986401574
1986-07-01,Northland,3253.728192193343
1986-08-01,Northland,3201.2417875685064
1986-09-01,Northland,3147.1266254013935
1986-10-01,Northland,3093.2818463273215
1986-11-01,Northland,3041.6065909816098
1986-12-01,Northland,2994.0
1987-01-01,Northland,2952.06875804563
1987-02-01,Northland,2916.2497258929993
1987-03-01,Northland,2886.6873083447194
1987-04-01,Northland,2863.525910203098
1987-05-01,Northland,2846.9099362705156
1987-06-01,Northland,2836.983791349478
1987-07-01,Northland,2833.8918802423455
1987-08-01,Northland,2837.778607751554
1987-09-01,Northland,2848.788378679498
1987-10-01,Northland,2867.065597828593
1987-11-01,Northland,2892.7546700013354
1987-12-01,Northland,2926.0
1988-01-01,Northland,2966.745242963584
1988-02-01,Northland,3014.131055377249
1988-03-01,Northland,3067.097344062281
1988-04-01,Northland,3124.5840158403453
1988-05-01,Northland,3185.5309775331584
1988-06-01,Northland,3248.878135961931
1988-07-01,Northland,3313.5653979483723
1988-08-01,Northland,3378.532670314204
1988-09-01,Northland,3442.7198598806162
1988-10-01,Northland,3505.066873469331
1988-11-01,Northland,3564.513617902053
1988-12-01,Northland,3620.0
1989-01-01,Northland,3670.4948302850494
1989-02-01,Northland,3715.082534079675
1989-03-01,Northland,3752.876440406157
1989-04-01,Northland,3782.989878287152
1989-05-01,Northland,3804.53617674523
1989-06-01,Northland,3816.6286648027976
1989-07-01,Northland,3818.3806714824505
1989-08-01,Northland,3808.9055258066724
1989-09-01,Northland,3787.316556798039
1989-10-01,Northland,3752.727093479064
1989-11-01,Northland,3704.250464872122
1989-12-01,Northland,3641.0
1990-01-01,Northland,3562.809579414601
1990-02-01,Northland,3472.395289785642
1990-03-01,Northland,3373.19376931309
1990-04-01,Northland,3268.641656196181
1990-05-01,Northland,3162.1755886340925
1990-06-01,Northland,3057.232204826879
1990-07-01,Northland,2957.2481429737195
1990-08-01,Northland,2865.6600412738444
1990-09-01,Northland,2785.904537927229
1990-10-01,Northland,2721.418271133077
1990-11-01,Northland,2675.6378790907593
1990-12-01,Northland,2652.0
1991-01-01,Northland,2652.7124539086526
1991-02-01,Northland,2675.0677882589594
1991-03-01,Northland,2715.1297323414833
1991-04-01,Northland,2768.9620154469508
1991-05-01,Northland,2832.628366866239
1991-06-01,Northland,2902.1925158896856
1991-07-01,Northland,2973.7181918081465
1991-08-01,Northland,3043.269123912498
1991-09-01,Northland,3106.909041493046
1991-10-01,Northland,3160.7016738406774
1991-11-01,Northland,3200.710750246174
1991-12-01,Northland,3223.0
1992-01-01,Northland,3224.7954660619403
1992-02-01,Northland,3207.972446067416
1992-03-01,Northland,3175.568551320978
1992-04-01,Northland,3130.6213931270536
1992-05-01,Northland,3076.168582789935
1992-06-01,Northland,3015.2477316143772
1992-07-01,Northland,2950.896450904694
1992-08-01,Northland,2886.1523519651605
1992-09-01,Northland,2824.0530461005883
1992-10-01,Northland,2767.6361446152496
1992-11-01,Northland,2719.9392588134815
1992-12-01,Northland,2684.0
1993-01-01,Northland,2662.0767466584334
1993-02-01,Northland,2653.310945989829
1993-03-01,Northland,2656.064812374605
1993-04-01,Northland,2668.700560193096
1993-05-01,Northland,2689.5804038257434
1993-06-01,Northland,2717.0665576528045
1993-07-01,Northland,2749.5212360547007
1993-08-01,Northland,2785.3066534119075
1993-09-01,Northland,2822.785024104602
1993-10-01,Northland,2860.318562513251
1993-11-01,Northland,2896.2694830183254
1993-12-01,Northland,2929.0
1994-01-01,Northland,2957.274283415475
1994-02-01,Northland,2981.4643255288115
1994-03-01,Northland,3002.3440741806016
1994-04-01,Northland,3020.6874772116416
1994-05-01,Northland,3037.2684824626967
1994-06-01,Northland,3052.8610377744044
1994-07-01,Northland,3068.239090987535
1994-08-01,Northland,3084.1765899428547
1994-09-01,Northland,3101.447482481005
1994-10-01,Northland,3120.825716442751
1994-11-01,Northland,3143.0852396688815
1994-12-01,Northland,3169.0
1995-01-01,Northland,3199.043712272148
1995-02-01,Northland,3232.489159302444
1995-03-01,Northland,3268.308890902988
1995-04-01,Northland,3305.475456886152
1995-05-01,Northland,3342.9614070643224
1995-06-01,Northland,3379.7392912495775
1995-07-01,Northland,3414.781659254303
1995-08-01,Northland,3447.061060890868
1995-09-01,Northland,3475.5500459713776
1995-10-01,Northland,3499.2211643082105
1995-11-01,Northland,3517.046965713689
1995-12-01,Northland,3528.0
1996-01-01,Northland,3531.3882517550537
1996-02-01,Northland,3527.8614446689617
1996-03-01,Northland,3518.404737207446
1996-04-01,Northland,3504.003287836206
1996-05-01,Northland,3485.6422550208854
1996-06-01,Northland,3464.306797227287
1996-07-01,Northland,3440.9820729210646
1996-08-01,Northland,3416.653240567852
1996-09-01,Northland,3392.305458633484
1996-10-01,Northland,3368.923885583594
1996-11-01,Northland,3347.4936798838257
1996-12-01,Northland,3329.0
1997-01-01,Northland,3314.225618670585
1997-02-01,Northland,3303.143765725412
1997-03-01,Northland,3295.5252852672274
1997-04-01,Northland,3291.1410213986837
1997-05-01,Northland,3289.7618182224683
1997-06-01,Northland,3291.1585198412763
1997-07-01,Northland,3295.101970357786
1997-08-01,Northland,3301.3630138747053
1997-09-01,Northland,3309.7124944946872
1997-10-01,Northland,3319.9212563204323
1997-11-01,Northland,3331.7601434546623
1997-12-01,Northland,3345.0
1998-01-01,Northland,3359.406032821899
1998-02-01,Northland,3374.7208998367732
1998-03-01,Northland,3390.6816217236446
1998-04-01,Northland,3407.025219161663
1998-05-01,Northland,3423.488712829978
1998-06-01,Northland,3439.8091234076082
1998-07-01,Northland,3455.723471573706
1998-08-01,Northland,3470.9687780074173
1998-09-01,Northland,3485.282063387768
1998-10-01,Northland,3498.4003483939064
1998-11-01,Northland,3510.0606537049694
1998-12-01,Northland,3520.0
1999-01-01,Northland,3528.043189856585
1999-02-01,Northland,3534.366153446069
1999-03-01,Northland,3539.232602838194
1999-04-01,Northland,3542.9062501027547
1999-05-01,Northland,3545.6508073095333
1999-06-01,Northland,3547.7299865282894
1999-07-01,Northland,3549.4074998288093
1999-08-01,Northland,3550.9470592808702
1999-09-01,Northland,3552.612376954241
1999-10-01,Northland,3554.6671649187006
1999-11-01,Northland,3557.375135244033
1999-12-01,Northland,3561.0
2000-01-01,Northland,3565.7701660850516
2000-02-01,Northland,3571.772819712326
2000-03-01,Northland,3579.05984192358
2000-04-01,Northland,3587.6831137606173
2000-05-01,Northland,3597.694516265257
2000-06-01,Northland,3609.145930479233
2000-07-01,Northland,3622.089237444359
2000-08-01,Northland,3636.5763182024675
2000-09-01,Northland,3652.6590537952684
2000-10-01,Northland,3670.389325264588
2000-11-01,Northland,3689.8190136522703
2000-12-01,Northland,3711.0
2001-01-01,Northland,3733.853576358718
2001-02-01,Northland,3757.77867881579
2001-03-01,Northland,3782.0436544674862
2001-04-01,Northland,3805.9168504102736
2001-05-01,Northland,3828.666613740613
