Time Frame,Location Id,Location,Median Rent,Crime
1993/2/1,1,Northland,120,2653.310946
1993/2/1,2,Auckland,180,8294.479729
1993/2/1,3,Waikato,120,6268.876663
1993/2/1,4,Bay of Plenty,140,4449.023224
1993/2/1,5,Gisborne,120,5473.953628
1993/2/1,7,Taranaki,130,3388.171313
1993/2/1,8,Manawatu-Whanganui,140,3885.740018
1993/2/1,9,Wellington,170,4192.577498
1993/2/1,12,West Coast,120,2775.608249
1993/2/1,13,Canterbury,150,7916.789679
1993/2/1,14,Otago,150,3840.965291
1993/2/1,15,Southland,100,2532.06412
1993/2/1,17,Nelson,150,2775.608249
1993/3/1,1,Northland,120,2656.064812
1993/3/1,2,Auckland,180,8278.994579
1993/3/1,3,Waikato,125,6303.32526
1993/3/1,4,Bay of Plenty,140,4478.301911
1993/3/1,5,Gisborne,125,5487.695826
1993/3/1,7,Taranaki,123,3368.108515
1993/3/1,8,Manawatu-Whanganui,130,3884.440842
1993/3/1,9,Wellington,170,4174.141058
1993/3/1,12,West Coast,120,2780.593981
1993/3/1,13,Canterbury,140,7873.86554
1993/3/1,14,Otago,135,3837.322482
1993/3/1,15,Southland,100,2537.670669
1993/3/1,17,Nelson,150,2780.593981
1993/4/1,1,Northland,125,2668.70056
1993/4/1,2,Auckland,180,8277.882545
1993/4/1,3,Waikato,130,6337.753512
1993/4/1,4,Bay of Plenty,140,4509.530335
1993/4/1,5,Gisborne,130,5500.323562
1993/4/1,7,Taranaki,130,3350.427565
1993/4/1,8,Manawatu-Whanganui,130,3881.549819
1993/4/1,9,Wellington,165,4157.184436
1993/4/1,12,West Coast,120,2788.094016
1993/4/1,13,Canterbury,145,7839.48446
1993/4/1,14,Otago,138,3837.775492
1993/4/1,15,Southland,95,2549.487141
1993/4/1,17,Nelson,150,2788.094016
1993/5/1,1,Northland,125,2689.580404
1993/5/1,2,Auckland,180,8289.785975
1993/5/1,3,Waikato,130,6370.891025
1993/5/1,4,Bay of Plenty,140,4542.037259
1993/5/1,5,Gisborne,121,5511.618295
1993/5/1,7,Taranaki,130,3335.239074
1993/5/1,8,Manawatu-Whanganui,130,3877.207656
1993/5/1,9,Wellington,170,4141.680092
1993/5/1,12,West Coast,103,2797.653277
1993/5/1,13,Canterbury,145,7812.713222
1993/5/1,14,Otago,135,3841.708912
1993/5/1,15,Southland,105,2566.383735
1993/5/1,17,Nelson,160,2797.653277
1993/6/1,1,Northland,130,2717.066558
1993/6/1,2,Auckland,180,8313.347214
1993/6/1,3,Waikato,130,6401.467408
1993/6/1,4,Bay of Plenty,140,4575.15145
1993/6/1,5,Gisborne,120,5521.361485
1993/6/1,7,Taranaki,130,3322.653657
1993/6/1,8,Manawatu-Whanganui,130,3871.55506
1993/6/1,9,Wellington,170,4127.600485
1993/6/1,12,West Coast,115,2808.816688
1993/6/1,13,Canterbury,145,7792.618612
1993/6/1,14,Otago,135,3848.507333
